create_dt,location_y,compnt_nm,location_x,version
20140207,-25.0764,CYFERSKUIL,28.24066,1.1.0
20140207,-25.57313,PHOKENG,27.16254,1.1.0
20140207,-25.35177,MADIKWE,26.52447,1.1.0
20140207,-27.54507,TAUNG,24.77898,1.1.0
20140207,-27.77091,PAMPIERSTAT,24.69018,1.1.0
20140207,-27.98218,KGOMOTSO,24.61279,1.1.0
20140207,-26.4567,WEDELA,27.383,1.1.0
20140207,-30.0253,KWAMAKHUTHA,30.86804,1.1.0
20140207,-29.85093,KWANDENGEZI,30.76895,1.1.0
20140207,-26.36964,LESLIE,28.92186,1.1.0
20140207,-26.46098,BETHAL,29.46955,1.1.0
20140207,-26.25064,KRIEL,29.26061,1.1.0
20140207,-27.57072,REIVILO,24.1833,1.1.0
20140207,-22.73445,MUTALE,30.52317,1.1.0
20140207,-33.02058,EAST LONDON,27.90288,1.1.0
20140207,-31.08187,FLAGSTAFF,29.49472,1.1.0
20140207,-30.85428,BIZANA,29.85939,1.1.0
20140207,-25.04701,HAZYVIEW,31.1283,1.1.0
20140207,-29.04502,WEMBEZI,29.78917,1.1.0
20140207,-23.52831,VILLA NORA,28.12587,1.1.0
20140207,-29.78514,NEWLANDS EAST,30.97478,1.1.0
20140207,-25.25865,DENNILTON,29.14743,1.1.0
20140207,-25.49436,MALELANE,31.51072,1.1.0
20140207,-30.40506,IBISI,29.88793,1.1.0
20140207,-32.02197,BRIDGE CAMP,27.3588,1.1.0
20140207,-31.67193,NGQELENI,29.03225,1.1.0
20140207,-26.71531,POTCHEFSTROOM,27.09456,1.1.0
20140207,-26.47848,ORANGE FARMS,27.8672,1.1.0
20140207,-25.51513,MATSULU,31.34609,1.1.0
20140207,-26.30353,MAYFLOWER,30.77622,1.1.0
20140207,-25.66843,MACHADODORP,30.25328,1.1.0
20140207,-24.75191,OHRIGSTAD,30.55652,1.1.0
20140207,-26.18914,PRIMROSE,28.15795,1.1.0
20140207,-26.26088,ALBERTON,28.12692,1.1.0
20140207,-29.75237,HIMEVILLE,29.51173,1.1.0
20140207,-25.70602,EERSTERUST,28.3189,1.1.0
20140207,-26.95975,KANANA,26.64038,1.1.0
20140207,-25.36291,SUN CITY,27.09869,1.1.0
20140207,-26.92008,TUMAHOLE,27.48537,1.1.0
20140207,-33.00505,DUNCAN VILLAGE,27.88872,1.1.0
20140207,-32.9366,GONUBIE,28.00084,1.1.0
20140207,-32.72743,BLUEWATER,27.95053,1.1.0
20140207,-32.96884,BEACON BAY,27.93836,1.1.0
20140207,-32.87859,BERLIN,27.5732,1.1.0
20140207,-26.4879,FOCHVILLE,27.49416,1.1.0
20140207,-33.48006,MOYENI,27.13021,1.1.0
20140207,-32.95596,INYIBIBA,27.69467,1.1.0
20140207,-32.17097,WHITTLESEA,26.82443,1.1.0
20140207,-32.16655,KLEINBULHOEK,26.575,1.1.0
20140207,-28.13308,MELODING,26.89475,1.1.0
20140207,-28.02889,ARLINGTON,27.85058,1.1.0
20140207,-26.84451,STILFONTEIN,26.7773,1.1.0
20140207,-27.90918,CHRISTIANA,25.16738,1.1.0
20140207,-26.15328,DAVEYTON,28.4156,1.1.0
20140207,-29.0335,PELLA,19.15277,1.1.0
20140207,-25.43625,LETHABONG,27.50895,1.1.0
20140207,-28.4542,ROSEDALE,21.20795,1.1.0
20140207,-27.64711,PETRUS STEYN,28.13161,1.1.0
20140207,-25.70513,MARIKANA,27.48645,1.1.0
20140207,-25.75138,OTTOSHOOP,25.96256,1.1.0
20140207,-28.83224,VERKEERDEVLEI,26.77901,1.1.0
20140207,-32.3144,HENDERSON,27.33609,1.1.0
20140207,-26.86353,KLERKSDORP,26.66311,1.1.0
20140207,-25.36555,MOKOPONG,22.97807,1.1.0
20140207,-24.72708,DWAALBOOM,26.80808,1.1.0
20140207,-24.93494,GRASKOP,30.83923,1.1.0
20140207,-34.02047,SWELLENDAM,20.44455,1.1.0
20140207,-27.76069,NEWCASTLE,29.93826,1.1.0
20140207,-28.41957,MTUBATUBA,32.18481,1.1.0
20140207,-29.35433,NEW HANOVER,30.52769,1.1.0
20140207,-29.87218,UMBILO,30.99136,1.1.0
20140207,-28.61588,FOURIESBURG,28.20841,1.1.0
20140207,-25.16354,MASOYI,31.11541,1.1.0
20140207,-24.32098,LEBOWAKGOMO,29.48187,1.1.0
20140207,-29.94306,STRYDENBURG,23.67684,1.1.0
20140207,-29.99861,VANDERKLOOF,24.74164,1.1.0
20140207,-30.64993,SUNRISE,24.02046,1.1.0
20140207,-25.83738,VORSTERSHOOP,23.02448,1.1.0
20140207,-26.54945,STELLA,24.86213,1.1.0
20140207,-26.27157,SETLAGOLE,25.11376,1.1.0
20140207,-25.81666,BOSCHKOP,28.40709,1.1.0
20140207,-26.315,DAWN PARK,28.2477,1.1.0
20140207,-26.35194,TSAKANE,28.36975,1.1.0
20140207,-28.85307,WEENEN,30.08461,1.1.0
20140207,-30.39106,CEDARVILLE,29.04574,1.1.0
20140207,-29.98666,ISIPINGO,30.92521,1.1.0
20140207,-26.29105,ELDORADO PARK,27.90082,1.1.0
20140207,-27.73717,HLOBANE,31.00971,1.1.0
20140207,-27.93065,KINGSLEY,30.53045,1.1.0
