I_D,YEAR,EQ_PRIMARY,INTENSITY,COUNTRY,LOCATION_N,LATITUDE,LONGITUDE,REGION_COD,DEATHS
8892,2010,6.100000000000000,,TURKEY,"TURKEY:  ELAZIG PROVINCE:  OKCULAR, YUKARI DEMIRCI",38.863999999999997,39.985999999999997,140,51
8972,2010,6.900000000000000,,CHINA,CHINA:  QINGHAI PROVINCE:  YUSHU,33.164999999999999,96.548000000000002,30,2220
9012,2010,5.600000000000000,,AFGHANISTAN,AFGHANISTAN:  SAMANGAN PROVINCE,35.633000000000003,67.658000000000001,40,11
9292,2010,7.000000000000000,6,INDONESIA,INDONESIA: NEW GUINEA:  IRIAN JAYA: JAPEN,-2.174000000000000,136.543000000000006,170,17
9779,2011,6.100000000000000,,NEW ZEALAND,"NEW ZEALAND:  CHRISTCHURCH, LYTTELTON",-43.582999999999998,172.680000000000007,170,181
9836,2011,5.500000000000000,,CHINA,CHINA:  YUNNAN PROVINCE:  PINGYUAN,24.719000000000001,97.968999999999994,30,25
9799,2011,9.100000000000000,,JAPAN,JAPAN:  HONSHU,38.296999999999997,142.372000000000014,30,1476
9801,2011,6.800000000000000,,MYANMAR (BURMA),MYANMAR:  TACHILEK,20.687000000000001,99.822000000000003,60,75
9829,2011,6.100000000000000,,UZBEKISTAN,"UZBEKISTAN:  FARGONA, VIOLYATI",40.081000000000003,71.409999999999997,40,14
9842,2011,6.900000000000000,,INDIA,INDIA:  SIKKIM,27.730000000000000,88.155000000000001,60,111
9845,2011,7.100000000000000,,TURKEY,"TURKEY:  ERCIS, VAN",38.722000000000001,43.512999999999998,140,604
9852,2011,5.700000000000000,,TURKEY,TURKEY:  VAN,38.429000000000002,43.228999999999999,140,40
9870,2012,6.700000000000000,,PHILIPPINES,PHILIPPINES:  NEGROS ORIENTAL PROVINCE,9.999000000000001,123.206000000000003,170,51
9901,2012,5.900000000000000,,ITALY,"ITALY:  EMILIA ROMAGNA:  MEDOLLA, MIRANDOLA, CAVEZZO",44.850999999999999,11.086000000000000,130,17
9922,2012,5.800000000000000,,AFGHANISTAN,AFGHANISTAN:  HINDU KUSH,36.023000000000003,69.350999999999999,40,75
9928,2012,6.500000000000000,,IRAN,"IRAN:  AHAR, HARIS, VARZAGAN",38.329000000000001,46.826000000000001,140,306
9937,2012,5.600000000000000,,CHINA,CHINA: YUNNAN PROVINCE:  ZHAOTONG:  YILIANG,27.574999999999999,103.983000000000004,30,81
9942,2012,7.300000000000000,,GUATEMALA,"GUATEMALA:  SAN MARCOS, SAN CRISTOBAL COCHU",13.988000000000000,-91.894999999999996,100,48
9943,2012,6.800000000000000,,MYANMAR (BURMA),MYANMAR (BURMA):  SHWEBO,23.004999999999999,95.885000000000005,60,26
9974,2013,6.300000000000000,,IRAN,"IRAN:  BUSHEHR PROVINCE:  SHANBE, KAKI, SENA",28.428000000000001,51.593000000000004,140,37
9976,2013,7.700000000000000,,IRAN,"IRAN; PAKISTAN:  MASHKAL",28.033000000000001,61.996000000000002,140,40
10036,2013,2.100000000000000,,USA,TEXAS:  WEST,31.817000000000000,-97.087999999999994,150,14
9978,2013,6.600000000000000,,CHINA,CHINA:  SICHUAN PROVINCE:  LONGMEN,30.308000000000000,102.888000000000005,30,196
9983,2013,5.500000000000000,,AFGHANISTAN,AFGHANISTAN:  KAMA,34.526000000000003,70.219999999999999,40,18
10005,2013,6.100000000000000,,INDONESIA,INDONESIA:  BANDA ACEH,4.645000000000000,96.665000000000006,60,42
